S01         .833   1.250   1.658    .446   1.973
S02         .583    .287   -.172    .164    .122
S03         .222   1.129    .736   1.473   2.282
S04         .972   2.293    .914   2.749   1.531
S06         .389    .895    .758    .511    .424
S07         .472    .289   -.001   -.984    .170
S08         .194    .010   -.518   -.767   -.951
S09         .250   1.153   -.164    .477   -.563
S10         .194    .888   -.467   -.378   -.611
S11         .944    .594    .402    .986   2.121
S12         .250   -.054   -.654  -1.124  -2.750
S13         .778    .356   -.041    .312   -.090
S14         .722   1.668    .016   1.266   -.175
S15         .833    .194   -.688    .894    .936
S16         .444   1.097    .289   -.014   -.597
S17         .722   1.074   -.248    .032   -.354
S18         .639    .858   -.595   -.414  -1.517
S20         .833    .554    .544   -.691   -.499
S21         .306    .895    .383   -.279   -.126
S22         .944   2.777   1.035   2.920    .011
S23         .611    .375   -.065    .370   -.643
S24         .306   -.544    .368  -1.102   -.143
S26         .722   1.536   -.094   1.078  -1.449
S28         .778   1.939    .787   1.872   1.066
S29         .222   1.206   -.207   -.365    .172
S30         .167    .275    .158    .109   -.587
S32         .944   1.067    .604   2.200    .992
S33         .361   1.593   -.318    .138    .840
