sub_id	onsettime1	onsettime2	condition
1	80430	82782	2
1	92430	94680	8
1	104429	106645	2
1	118428	120628	8
1	133427	135627	6
1	146426	148626	4
1	162425	164642	8
1	178424	180641	8
1	192424	194623	1
1	207439	209689	6
1	222438	224638	8
1	236437	238654	4
1	248437	250637	4
1	261436	263636	0
1	273435	275635	4
1	286434	288651	8
1	299434	301633	4
1	311433	313616	8
1	327432	329632	4
1	343431	345564	8
1	357430	359646	8
1	373429	375645	4
1	385428	387628	8
1	398427	400627	3
1	414426	416643	5
1	428425	430625	4
1	442425	444641	8
1	457424	459624	4
1	471423	473639	8
1	487438	489638	7
1	501438	503637	3
1	514437	516653	6
1	526436	528636	4
1	539435	541635	6
1	553434	555634	4
1	569433	571633	4
1	583433	585632	8
1	599432	601631	3
1	615431	617630	4
1	629430	631630	5
1	641429	643629	1
1	656428	658644	4
1	669427	671644	8
1	684426	686626	4
1	699425	701642	0
1	711424	713624	8
1	726424	728640	8
1	741439	743639	1
1	754439	756638	6
1	767438	769638	1
1	783437	785637	8
1	799436	801669	4
1	812435	814635	8
1	826434	828651	4
1	840433	842633	3
1	853432	855632	8
1	868431	870631	8
1	880431	882631	4
1	895430	897630	8
1	909429	911629	4
1	922428	924645	8
1	934427	936644	8
1	948426	950643	4
1	961426	963642	8
1	975425	977641	3
1	991424	993640	8
1	1007439	1009639	2
1	1019439	1021639	8
1	1031438	1033638	0
1	1046437	1048637	8
1	1058436	1060636	4
1	1073435	1075652	4
